price
38990
10990
19990
58990
32990
26990
109990
22990
40990
25990
31990
59990
8990
29990
4590
23990
44990
24990
43990
46990
44990
27990
66990
26990
42990
34990
69990
22990
21990
39990
29990
59990
54990
21990
59990
115950
66990
11990
58990
84990
79990
64990
66990
94990
78980
36990
23990
67990
79990
31990
74990
66990
62990
24990
46990
59990
98990
64990
26990
54990
55990
49990
53990
46990
59990
52990
28990
21990
25990
203920
36990
119990
84990
98990
77960
59990
27990
69990
68990
79990
119990
25990
36990
22990
59990
89990
74990
105980
119990
34990
34990
35990
98990
19990
45990
98990
59990
119990
59990
109990
19990
85990
32990
56990
34990
69990
74990
9990
53990
66990
22990
67990
94990
38990
94990
40990
6590
129990
30990
38990
28990
58990
44990
94990
53990
30990
6590
30990
25990
36990
82960
49990
66990
22990
29990
59990
8990
58990
55990
18990
68970
79990
49990
161980
98990
29990
59990
59990
59990
139980
81960
8990
36990
32990
44990
8990
115950
62990
119990
232960
24990
98990
17990
68990
12990
20990
72990
12990
28990
104990
